2;66;4;835355532
2;69;3;835355604
2;63;3;835355790
3;66;4;1298922049
3;67;5;1298862121
3;64;4;1298863157
3;17;4.5;1298923236
3;24;5;1298862874
3;37;3;1298922080
3;41;3;1298922065
3;51;3;1298922071
4;69;5;949949538
4;62;5;949779091
4;65;5;949779022
4;8;5;949778771
4;9;5;949779173
4;10;5;949810261
4;11;5;949919372
4;12;5;949918743
4;14;5;949896377
4;15;5;949810261
5;68;3.5;1163373636
5;69;4;1163373752
5;63;4;1163374392
5;3;5;1163373711
5;65;2.5;1163373651
5;14;5;1163373044
5;17;4;1163373744
5;1;4;1163374246
5;26;4;1163373273
5;28;3.5;1163374103
5;32;4.5;1163373616
5;35;3;1163373688
5;36;4;1163374533
5;37;4;1163373626
6;22;1;1109258202
6;41;4;1108134524
7;71;3;851866703
7;66;5;851868188
7;67;5;851868187
7;69;3;851868020
7;62;4;851869035
7;6;4;851868289
7;8;3;851868308
7;9;5;851869035
8;66;4;1154473268
8;67;5;1154464714
8;65;5;1154400181
8;9;4;1154464730
8;12;4;1154465555
8;15;4;1154465285
8;22;5;1154464738
8;24;4;1154464901
8;27;5;1154464905
8;30;3.5;1154464808
8;31;3.5;1154464819
8;32;3.5;1154389449
8;37;4;1154389474
8;39;5;1154465296
8;41;4;1154465367
8;42;2.5;1154400471
9;71;4;938629179
9;67;4;938628966
9;17;3;938629470
9;20;2;938629681
9;22;5;938628450
10;67;4;942766515
10;68;3;942766603
10;9;4;942767258
10;22;5;942766515
11;64;4.5;1391658505
12;11;2;968045354
12;15;4;968045475
12;24;4;968045407
13;71;5;1331380058
13;66;4;1331380038
13;67;4.5;1331380029
13;22;3;1331380888
13;28;4;1331380721
13;29;4.5;1331379506
13;30;3.5;1331380834
13;31;4.5;1331380883
13;37;4.5;1331380734
13;41;4;1331380159
13;51;4.5;1331380873
13;53;4.5;1331380830
14;17;3;976243912
15;71;2;997938310
15;66;3;1040205792
15;67;2;997938727
15;68;2;1093028220
15;69;4;997939065
15;62;5;997938438
15;63;2;1093028377
15;3;2.5;1093028267
15;64;4;1054450167
15;65;5;997938703
15;70;5;1058250570
15;4;5;997938346
15;5;3.5;1093070090
15;6;5;997938358
15;7;2;1122576683
15;8;4;997938466
15;9;4;997939111
15;10;4;997938203
15;11;3;1044347881
15;12;4;997938219
15;13;1;1063565335
15;14;2.5;1166586012
15;15;4;1040205754
15;2;3;997939453
15;16;1;1052896819
15;17;1.5;1093028339
15;20;3;1040205754
15;22;5;997938438
15;23;4;997939653
15;1;3;1033344657
15;24;5;997938894
15;26;2;1044348492
15;27;5;997937682
15;28;1;1033343955
15;29;3;997937366
15;30;5;1033344055
15;31;5;1033343815
15;32;1;1033343815
15;33;4.5;1054449333
15;34;1;1033344044
15;35;1;1416119666
15;36;4;1120209437
15;37;1;1061496771
15;38;3.5;1061496766
15;39;1;1067797349
15;40;4;1465794270
15;41;5;1082220175
15;44;2;1101423869
15;46;1;1425876007
15;47;0.5;1416119707
15;48;1.5;1416119790
15;49;4;1257734285
15;50;2;1374638451
15;51;4.5;1222024895
15;54;4;1261944230
15;57;3.5;1425875392
15;58;1.5;1425875443
15;59;3.5;1458505928
15;60;3.5;1458505912
15;61;4;1466802910
16;67;4;1178364881
16;1;5;1137577616
16;26;3.5;1137577979
16;32;4.5;1178364909
16;39;3.5;1137577905
17;67;5;1127469420
17;62;5;1127469561
17;64;4.5;1127469230
17;65;5;1127469000
17;4;4.5;1127468627
17;6;4.5;1127469594
17;11;5;1127469749
17;12;3.5;1127469694
17;2;3;1127469661
17;17;0.5;1127472770
17;22;5;1127469486
17;24;5;1127469609
17;27;5;1127469783
17;28;3.5;1127471221
17;30;3.5;1127473495
17;31;4.5;1127469643
17;32;3;1127473364
17;39;4.5;1127470187
17;41;4.5;1127470361
17;43;0.5;1127473349
19;71;3;855190091
19;66;3;855193530
19;67;4;855195189
19;68;3;855194560
19;69;3;855195078
19;62;4;855191622
19;63;3;855194743
19;3;3;855193530
19;65;5;855191478
19;4;5;855191430
19;5;4;855192717
19;6;4;855191289
19;7;3;855193599
19;8;5;855191517
19;9;4;855191430
19;10;4;855191584
19;11;4;855191622
19;12;5;855192033
19;14;3;855193194
19;15;5;855192033
20;71;3.5;1238729767
20;66;2;1238729747
20;67;4.5;1224043037
20;68;1;1238729802
20;69;3.5;1238729826
20;3;4;1238729844
20;65;2;1238729822
20;4;3;1224043134
20;8;1.5;1238729863
20;9;4.5;1238729807
20;22;4.5;1238729799
20;24;0.5;1224043052
20;31;4;1224043029
21;68;3;853847612
21;62;3;853846813
21;63;3;853847813
21;3;3;853846723
21;65;4;853850728
21;70;3;853850791
21;5;4;853851052
21;6;4;853848314
21;7;2;853853701
21;8;3;853847780
21;9;5;853847813
21;10;4;853849211
21;13;4;853850997
21;14;3;853852501
21;15;3;853850968
22;62;4.5;1131664363
22;63;1;1131664533
22;65;4;1131662354
22;8;2.5;1131723086
22;9;5;1131663397
